       0.638214        0.305963       -0.019231
       0.244738       -0.093894       -0.081207
       0.667463        0.057905        0.243001
      -0.600712       -0.461117       -0.065752
       0.838674       -0.168493       -0.191175
      -0.182996        0.264811        0.499597
      -0.247294        0.700424        0.202147
       0.141838        0.189458       -0.023534
      -0.871383       -0.742240        0.428520
       0.225749        0.027092        0.052426
       0.463718       -0.029344        0.158601
       0.426291       -0.193922       -0.205557
       0.722596       -0.318676       -0.084437
       0.028290        0.580827        0.257347
      -0.099962        0.863382        0.402701
       0.500273       -0.077928        0.218028
      -0.276502       -0.217268       -0.395914
       0.400843       -0.136900        0.111021
       0.053287       -0.322450       -0.018142
      -0.631100       -0.054552       -0.103610
      -0.404608        0.125828       -0.709130
       0.372727        0.415846        0.061400
      -0.274931       -0.460511       -0.110591
       0.756265       -0.745563        0.047989
       0.069271       -0.940666        0.793737
