"Part_ID";"Name";"Description";"Model";"Price";"Type_ID"
80;"Внутренний TV-тюнер AverMedia";"FM-тюнер, RDS, Пульт ДУ, PCI";"AVerTV Studio 809";2250;12
81;"Внутренний TV-тюнер Beholder";"DVB-T, FM-тюнер, Пульт ДУ, PCI-Ex1";"Behold TV H8";2399;12
82;"Внутренний TV-тюнер AverMedia";"FM-тюнер, Пульт, ДУ PCI";"AVerTV Super 009";1499;12
83;"Звуковая карта ASUS ""Xonar DG"" 5.1 PCI Retail";"звук. проц. C-Media CMI8786; режимы работы VOIP, Pro-gaming и Exciter;  сиг/шум 105 дБ; диап. 10 Гц - 48 кГц";"Xonar DG";1190;13
84;"Звуковая карта ASUS ""Xonar DS"" 7.1 PCI Retail";"сиг/шум 107 дБ;  технология DTS Connect (DTS Interactive + DTS Neo:PC)";"Xonar DS";1690;13
85;"Звуковая карта ASUS Xonar D1 7.1 PCI";"Dolby Digital Live, Dolby Headphone, Dolby Virtual Speaker, Dolby Pro Logic IIx, DS3D GX 2.0, VocalFX (VoiceEX+ ChatEX)";"Xonar D1";2450;13
86;"Звуковая карта ASUS Xonar DX 7.1 PCI-Ex1";"для кино и игр с интерфейсом PCI-Express x1";"Xonar DX";2750;13
87;"Звуковая карта ASUS Xonar D2X 7.1 PCI-Ex1";"одна из самых универсальных звуковых карт (музыка, объёмный звук в играх); самый многофункциональный драйвер";"Xonar D2X";5990;13
88;"Звуковая карта Creative Sound Blaster Recon3D PCIe";"4-ядерный проц. Sound Core3D; аудио-технологии THX TruStudio Pro";"SB1350";3390;13
89;"Звуковая карта Creative Sound Blaster Z  PCI-eX RET";"идеально подходит для игр и развлечений; внешний сдвоенный микрофоном с фокусировкой луча";"SB1500";3390;13
90;"Звуковая карта Creative ""X-Fi Titanium PCI Express""";"Поддержка EAX 5.0, X-Fi CMSS-3D и OpenAL; четкое и реалистичное 3-мерное звучание";"SB0880";3299;13
91;"Звуковая карта Creative ""X-Fi Titanium HD"" PCI-Ex1 Retail";"проц. Creative X-Fi Xtreme Fidelity; технология Creative ALchemy; поддержка ASIO";"SB1270";6190;13
92;"Звуковая карта C-Media 8738 4-Channel PCI";"Дешевая 4-х канальная звуковая карта для ПК";"C-Media 8738";180;13
93;"Звуковая карта C-Media 8768/VIA Tremor 79550 7.1-Channel PCI";"воспроизведение звука в формате 7.1; для домашних и офисных ПК";"C-Media 8768";310;13
94;"Плата видеозахвата AverMedia ""Game Broadcaster HD"" PCI-Ex1";"Поддерживает захват видео высокой четкости в формате 1080p. Она оснащена входами HDMI и VGA. Полная совместимость с Adobe Flash Media Live Encoder и Xsplit для ""живой"" трансляции HD-видео в сеть.";"AverMedia GB HD";4490;14
95;"Плата видеозахвата AVerMedia ""Live Gamer HD"" PCI-Ex1";"Для ПК-геймеров. Оснащена сквозным HDMI/DVI выходом, чтобы играть и записывать на одном компьютере.";"AverMedia LG HD";6650;14
96;"Контроллер Espada SATA RAID CARD";"Характеристики: (2 port SATA3(6G) + 1 port IDE, RAID 0/1) PCI-Ex1. Подключение внутренних устройств типа DVD и HDD с поддержкой RAID. Необходим при отсутствии IDE-порта (на современных материнках) и нехватке портов SATA.";"FG-SA3512-2IR-A4-01-CT01";990;15
97;"Антивибрационная прокладка";"Для вентилятора 92х92mm, силикон";"BUFFER P92";30;16
98;"Антипылевой фильтр";"Для вентилятора 80х80mm, пластик";"FAN FILTER 80";65;16
99;"Антивибрационные ножки";"Для корпуса/оргтехники, самоклеющиеся, 4 шт.";"RUBBER CASE FEET";40;16
100;"Антивибрационная прокладка";"Для вентилятора 80х80mm, силикон";"BUFFER P80";80;16
101;"Шурупы с антивибрационными шайбами";"Для HDD, 4 шт.";"RUBBER HDD";80;16
102;"Антипылевой фильтр";"Для вентилятора 80х80mm, алюминий";"FAN FILTER A80";75;16
103;"Антипылевой фильтр";"Для вентилятора 120х120mm, пластик";"FAN FILTER 120";90;16
104;"Антивибрационная прокладка";"Для блока питания АТХ, силикон";"BUFFER PSU";85;16
105;"Антивибрационная прокладка";"Для вентилятора 120х120mm, силикон";"BUFFER P120";110;16
106;"Антипылевой фильтр";"Для вентилятора 120х120mm, алюминий";"FAN FILTER A120";99;16
107;"Фильтр для вентилятора";"Пластиковый с поролоном; размеры 123.7x123.7х10.67мм";"LFT120FI45";110;16
108;"Шлейф FDD";"2 коннектора, 34 жилы, 61 см ; для дисковода FDD, 3.5 дюйма";"CABLE FDD";35;17
109;"Шлейф IDE UDMA 66/100/133 Cable";"Для подключения жёстких дисков и оптических дисководов";"IDE UDMA CABLE";59;17
110;"Круглый шлейф Revoltec IDE";"40-контактный разьем IDE, длина 480 мм, УФ-оранжевый; позволит избавиться от путаницы в проводах внутри компьютера и улучшит циркуляцию воздуха";"Revoltec IDE(48)";260;17
111;"Круглый шлейф Revoltec IDE";"40-контактный разьем IDE, длина 900 мм, УФ-синий; позволит избавиться от путаницы в проводах внутри компьютера и улучшит циркуляцию воздуха";"Revoltec IDE(90)";450;17
112;"Круглый шлейф Revoltec IDE";"40-контактный разьем IDE, длина 600 мм, желтый; позволит избавиться от путаницы в проводах внутри компьютера и улучшит циркуляцию воздуха";"Revoltec IDE(60)";340;17
113;"Кабель Vantec S-ATA";"Для интерфейса S-ATA со скоростью более 150 Мб/сек; позволяет работать со сверхобъемными винчестерами и оптическими приводами (в т.ч. CD, CD-RW, DVD, DVD-RW; длина 600 мм";"Vantec S-ATA";120;17
114;"Вентилятор Mirage Exegate Fan";"Имеет прозрачный корпус и лопасти; по углам кожуха (корпуса) встроены 4 красных светодиода для подсветки; размеры 120x120x25 мм; скорость 1500 об/мин; уровень шума 20 dBA";"12025M12B-LED1";250;4
115;"Вентилятор Silent Anodized LED Fan gold";"Анодированное золотое покрытие и 4 ультраярких светодиода; размер 80х80х25 mm";"SB-SAL-Fan-gold";215;4
116;"Вентилятор VIZO FREEZER";"Снабжен автоматическим термоконтролем и долговечным магнитным подшипником; размеры 80x80x25 мм; срок службы 50000 ч";"FZ8025";280;4
117;"Вентилятор Noiseblocker NB-Multiframe";"Особая конструкция лопастей и резиновые угловые опорные элементы для снижения шума и вибрации до уровня 6 dBA на расст. 25см; специальный подшипник с долгим сроком службы; размеры 80x80x25 мм; скорость 1200 об/мин";"M8-S1";700;4
118;"Процессор AMD Sempron 130";"1 ядро, тактовая частота 2.6 ГГц, кэш L2 512 Кб, сокет AM3";"AMD Sempron 130 Sargas";940;2
119;"Память DIMM DDR2";"1024MB PC6400 800MHz на чипах Hynix";"DDR2 800 1GB";625;8
120;"Корпус Zalman MS800";"Black Dual USB3.0, 6Ch Fan Contr, Side panel Acril tuning, Hot-Swap Enabled HDD bay ATX без БП";"Zalman MS800";3150;1
121;"Видеокарта GeForce GTX 660 Ti";"GIGABYTE GeForce GTX 660 Ti 1032Mhz PCI-E 3.0 2048Mb 6008Mhz 192 bit 2xDVI HDMI HDCP";"GTX 660 Ti";10500;7
