"Type_ID";"Name"
1;"Корпуса"
2;"Процессоры"
3;"Кулеры"
4;"Вентиляторы"
5;"Системы охлаждения"
6;"Материнские платы"
7;"Видеокарты"
8;"Модули оперативной памяти"
9;"Жесткие диски"
10;"Оптические приводы"
11;"Блоки питания"
12;"TV-тюнеры"
13;"Звуковые карты"
14;"Платы видеомонтажа"
15;"Контроллеры"
16;"Моддинг"
17;"Кабели"
