10000   61      7
20000   139     75
30000   313     246
40000   658     586
50000   1174    1176
60000   1896    2085
70000   3031    3355
80000   4537    4736
90000   6339    6521
100000  8309    8652
110000  10889   11094
120000  13741   13692
130000  16710   16622
140000  19885   19897
150000  23597   23503
160000  27578   27508
170000  31912   31870
180000  36653   36501
190000  41557   41544
200000  46897   46879
